Goal #,What to Develop,Current Proficiency,How to Develop It,Support Needed from Manager,Leadership Principles Involved,,
Example of a Poorly Written IDP Goal,,,,,,,
,,,,,,,
Goal 1,Get better at contributing in meetings,I do ok most of the time,Speak up when I know I know the answer to a problem.,n/a,Earn Trust?,,
Example of an IDP Goal Written Better but not Great,,,,,,,
,,,,,,,
Goal 1,Become an active contributor in planning and pre-planning meetings before work begins,Sometimes I'm active,Prepare before meetings by reviewing the user stories. Try to ask more questions and point out risks when I see them. Speak up more instead of waiting to be asked.,Let me know if I'm not contributing enough,Earn Trust / Deliver Results,,
,,,,,,,
Example of a Well Written IDP Goal,,,,,,,
,,,,,,,
Goal 1,"Become an active contributor in planning and pre-planning meetings by identifying gaps, risks, dependencies, and solution options before work begins.",Intermittently proficient in contributions before work begins.,"Review all user stories before planning meetings. Document questions, acceptance criteria gaps, technical risks, and possible solutions. Meet with manager or tech lead before key planning sessions to validate findings and align on recommendations. Contribute at least one meaningful clarification, risk, or solution in each planning discussion.",Provide feedback on the quality of pre-planning analysis. Help identify high-value areas to focus on before meetings. Coach on how to raise risks and recommendations clearly and confidently with the team.,Customer Obsession/Go Deeper/Challege and commit,,
