Category,IC1 – Software Engineer I,IC2 – Software Engineer II,IC3 – Senior Software Engineer ,IC4 – Staff Engineer,IC5 – Senior Staff Engineer,IC6 – Principal Engineer,,,
Level Summary,Learns fundamentals while delivering clearly scoped work with guidance,Independently delivers features and solutions with minimal guidance,Leads design and delivery of complex features and projects,Drives technical direction and solutions across teams,Defines long-term technical strategy across the program or account,Defines long-term technical strategy across the organization or major business lines,,,
,,,,,,,,,
ESI Leadership Principles (What's Your Mindset),,,,,,,,,
Customer Obsession,Learns how their work impacts customers; listens to feedback,Proactively incorporates customer needs into planning,Advocates for customer-centric solutions in design and delivery,Influences roadmap through deep understanding of customer value,Shapes customer-obsessed culture across teams or products,Cultivates a customer-obsessed engineering culture across the organization,,,
Innovate and Simplify,Suggests small improvements or ideas for automation,Improves processes or tooling to reduce complexity,Leads simplification of systems while enabling innovation,Drives platform or process changes that remove bottlenecks,"Shapes innovation culture by modeling bold, simple solutions","Champions bold, pragmatic innovation as a model for the entire organization",,,
Exercise Good Judgment,Seeks input to make informed decisions and avoids rushing,Weighs tradeoffs and applies sound reasoning to tasks,Anticipates downstream effects and considers edge cases,Guides others in complex decisions with balance and clarity,Demonstrates exceptional judgment that earns trust program or account-wide,Demonstrates exceptional judgment that earns trust at the executive level,,,
Commit to Learning,Open to feedback and actively improves from it,Explores new tools or techniques to grow skillset,Shares learnings with team and builds learning habits,Mentors others and champions a growth mindset,Creates systems that foster continuous learning program or account-wide,Designs systems that drive continuous learning across the organization,,,
Cultivate Talent,Supports onboarding and peer learning,"Gives clear, actionable feedback to help others improve",Mentors peers and identifies potential in teammates,Leads development planning and coaching,Shapes team or org talent strategy and succession planning,"Shapes org-wide engineering talent strategy, leadership pipeline, and hiring bar",,,
Demand Excellence,Delivers reliable work that meets team quality standards,"Pushes for improvements in code, systems, and processes",Raises the bar in execution and detail,Leads quality-focused initiatives across domains,Defines and sustains program or account-wide standards of excellence,Defines and sustains company-wide standards of technical excellence,,,
Think Boldly,Proposes ideas that go beyond current scope,Explores big-picture improvements to customer or system,Challenges constraints with visionary thinking,Drives bold initiatives that deliver significant value,"Inspires and leads high-impact, long-term innovation","Inspires and sponsors high-impact, multi-year innovation at company scale",,,
